Timestamp,Name,Email,Wallet_Address,Rating(1-5),Feedback
2026-05-02T12:32:19.813Z,Kiran Verma,kiran.verma65@gmail.com,GPXFEZIGT2D6CMHA4RQZZGCQQA4ALVNQOHUNQ6ZTR7MMZQK6RSDSAQ7S,4,"I had some issues with the transaction popping up, but it worked."
2026-04-17T03:04:57.251Z,Manish Gupta,manish.gupta78@gmail.com,GV6FWM4FYHXPXSLY54BVK2D63G46L74RLHSTLJV5KURCWLJBJUCFTJGK,4,"Solid UI but could use a dark mode toggle."
2026-04-05T19:12:14.294Z,Shaurya Menon,shaurya.menon9@gmail.com,GIUDYFUS2O6NTMM7HCAKCQOZNWWYZFY7CXONOZSX2HTWE4SN5AHR7KAW,5,"The Freighter wallet integration is super smooth."
2026-04-21T22:00:43.556Z,Amit Joshi,amit.joshi96@gmail.com,GZK6DDFIE7ILY3RKJUZM644WINLFIOIG74KACITO4ZC4U25GJG2YMRY6,4,"Awesome idea for learning and earning."
2026-05-28T12:26:07.475Z,Sunil Iyer,sunil.iyer49@gmail.com,GVXW4IGO5GQZW4ZG65USDK74LZLECVF6HHO4ITXQWMFYVFFAAT5UZH7K,5,"Love the concept!"
2026-03-21T11:58:44.993Z,Swati Sen,swati.sen92@gmail.com,GGMYX3GFK3KLHCQG67R2Y7Z2XIU7J2PMMZYZCBIF7VPA52YWRKOMXLF4,4,"Really cool project on Stellar!"
2026-05-10T02:54:42.881Z,Neha Das,neha.das38@gmail.com,GZRXA67MTHH6HFVJE32P2ETQX4BS64I4S4R46DNYSY4PAMZXQA2Y7LL7,4,"Really cool project on Stellar!"
2026-04-09T15:51:19.185Z,Swati Nair,swati.nair22@gmail.com,GLQNOQY6G4FKTVPWJRR7OYFH5FEM3WPUK3BG4VD4FTO55KVVL2ISY66F,4,"Dashboard analytics would be great."
2026-03-26T09:06:38.551Z,Neha Das,neha.das71@gmail.com,GULRRYZZ74WNIWALDDO46F3VQ6TY2CX43U7STFAYMKKSVZBWF5PTWDDZ,5,"I had some issues with the transaction popping up, but it worked."
2026-06-03T16:28:38.981Z,Vivaan Sen,vivaan.sen7@gmail.com,GTYJPWWW4KQO44ZP6SZRSMV3HGTZV4ZSMQBTZF67V6WQ3SCTENK54LAB,4,"I love how fast the payouts are."
2026-05-23T12:35:31.388Z,Anjali Rao,anjali.rao53@gmail.com,GPYZZG5TPYFVDN2JCC2JA63ZVN4NGZRB7Z7OTN2NHNCAQNCVDOLTE3CL,5,"Awesome idea for learning and earning."
2026-03-09T18:17:38.001Z,Sonia Menon,sonia.menon76@gmail.com,GFFU45SM2LQPYW7QL2ESOMG7BOHRBNE7C6RQVMBFG3CDU5Y5R3FR5GKK,4,"Smooth experience overall."
2026-05-13T05:08:10.397Z,Swati Chatterjee,swati.chatterjee1@gmail.com,G34DCIWI4FOJIYMIVJBLCUDX2NGOUFJ3CCLKJRHAUK2VBDTRHAHGBF3R,5,"Needs better onboarding for beginners."
2026-06-19T12:39:34.882Z,Rohan Verma,rohan.verma72@gmail.com,GCEOZOTXZ2DHZS6G43N46ZF3V3GHVPV6NLHW4ET4YAOSGGTJSRQA7LZP,4,"Dashboard analytics would be great."
2026-03-04T18:14:35.707Z,Sai Nair,sai.nair14@gmail.com,G4KGHE7NWTUXPDZQRH73UJ5YWTLW43VKQRXFFUW2KDEACZJ36JCWQWXY,4,"I love how fast the payouts are."
2026-03-18T15:39:03.964Z,Aditya Singh,aditya.singh23@gmail.com,GKYEOTPECTKD432KKXNJ5DZADGW5TXK2KNXTTSIVP5H6GUAJR3OT7T6Y,5,"Smooth experience overall."
2026-05-21T22:04:13.962Z,Ramesh Kumar,ramesh.kumar15@gmail.com,GYYQEIZSTVRFPRS4V4FY7GX7CVN3JBKR5E3GE7J5PQZZIXRDMXQQZP25,5,"Love the concept!"
2026-05-20T19:12:57.770Z,Sunil Desai,sunil.desai32@gmail.com,GMGBAGYJH3LS2NDHKISNJVELPEZDSHYPOGWOOKRPAE37E5AO337QEZIW,4,"Solid UI but could use a dark mode toggle."
2026-06-24T10:45:30.739Z,Ananya Kumar,ananya.kumar13@gmail.com,GKUILTFJJ2Z6PYZJ6FVILJ3SECSR2IQ5H5LA2S6STWNJV5LY4BKXIA5D,4,"I had some issues with the transaction popping up, but it worked."
2026-05-21T18:29:38.255Z,Sneha Das,sneha.das18@gmail.com,GWFJHPCIARTQAO5OD7II36UYBFOSPGLJA3JB4AZFUIW5E26DA4FEBE3K,5,"Smooth experience overall."
